,bikeIds,biketype,boundary,boundary_lat1,boundary_lat2,boundary_long1,boundary_long2,boundary_number,consecutive_lat_long_meters,distId,distNum,distX,distY,distance,from_lat,from_long,type,run_at,run_date,run_hour,run_minute,run_at_dt,lat_long_combined,upone,distY_lag,distX_lag,last_location_of_day,Haversine_distance_meters,hour_cluster,lat_on_grid,lon_on_grid,grid_point,grid_point_int,poly_point,poly,poly_perimeter,center_lat,center_lon,weekday
3552,A280002732#,1.0,,18.541494,18.463779000000002,73.82991,73.819816,4.0,500.0,A280002732,1.0,73.815625,18.48327,714,18.48354096810508,73.82238364031465,0.0,180613-1258,180613,12,50,2018-06-13 12:58:00,"18.48327, 73.815625","18.482008, 73.816511",18.482008,73.816511,,168.64247280832043,afternoon,18.48327,73.815625,[[32]],32.0,32.0,"POLYGON ((73.80760128721728 18.49147118518909, 73.80737413150756 18.48249056384984, 73.81684264555854 18.48249039387959, 73.81707029453172 18.49147100398452, 73.80760128721728 18.49147118518909))",0.03690451005722628,18.486980825734424,73.81222208970526,Wednesday
3553,A280002732#,1.0,,18.541494,18.463779000000002,73.82991,73.819816,4.0,500.0,A280002732,1.0,73.816645,18.482916,609,18.48354096810508,73.82238364031465,0.0,180616-0855,180616,8,50,2018-06-16 08:55:00,"18.482916, 73.816645","18.481731, 73.814626",18.481731,73.814626,,250.47529410607504,morning,18.482916,73.816645,[[32]],32.0,32.0,"POLYGON ((73.80760128721728 18.49147118518909, 73.80737413150756 18.48249056384984, 73.81684264555854 18.48249039387959, 73.81707029453172 18.49147100398452, 73.80760128721728 18.49147118518909))",0.03690451005722628,18.486980825734424,73.81222208970526,Saturday
3554,A280002732#,1.0,,18.540385,18.474621,73.817805,73.809393,3.0,500.0,A280002732,1.0,73.814626,18.481731,453,18.48241888887333,73.81039154896787,0.0,180616-0924,180616,9,20,2018-06-16 09:24:00,"18.481731, 73.814626","18.498361, 73.82176700000001",18.498361,73.82176700000001,,1997.2552637392848,morning,18.481731,73.814626,[[33]],33.0,33.0,"POLYGON ((73.80737413150756 18.48249056384984, 73.80714699959871 18.47350994223983, 73.81661502043791 18.47350978350274, 73.81684264555854 18.48249039387959, 73.80737413150756 18.48249056384984))",0.03690352291787722,18.478000209874608,73.81199469927711,Saturday
3555,A280005862#,1.0,,18.541494,18.463779000000002,73.82991,73.819816,4.0,500.0,A280005862,1.0,73.821993,18.500956,643,18.505830630978476,73.82527779081447,0.0,180602-1035,180602,10,30,2018-06-02 10:35:00,"18.500956, 73.821993","18.504561, 73.82332199999999",18.504561,73.82332199999999,,424.78126785519396,morning,18.500956,73.821993,[[39]],39.0,39.0,"POLYGON ((73.81752566409548 18.50943222337794, 73.8172979673724 18.50045161381736, 73.82676746799631 18.50045142147468, 73.82699565808439 18.50943201977422, 73.81752566409548 18.50943222337794))",0.03690648715389938,18.504941858623727,73.82214668938873,Saturday
3556,A280005862#,1.0,,18.541494,18.463779000000002,73.82991,73.819816,4.0,500.0,A280005862,1.0,73.823338,18.50451,696,18.51028855827376,73.82585671133275,0.0,180603-0905,180603,9,0,2018-06-03 09:05:00,"18.50451, 73.823338","18.503733, 73.80869",18.503733,73.80869,"18.50451, 73.823338",1547.4767063036234,morning,18.50451,73.823338,[[39]],39.0,39.0,"POLYGON ((73.81752566409548 18.50943222337794, 73.8172979673724 18.50045161381736, 73.82676746799631 18.50045142147468, 73.82699565808439 18.50943201977422, 73.81752566409548 18.50943222337794))",0.03690648715389938,18.504941858623727,73.82214668938873,Sunday
3557,A280005862#,1.0,,18.535232,18.480482000000002,73.802329,73.801802,2.0,500.0,A280005862,1.0,73.80869,18.503733,862,18.49930067666049,73.80198315783066,0.0,180624-1505,180624,15,0,2018-06-24 15:05:00,"18.503733, 73.80869","18.501637, 73.815053",18.501637,73.815053,,710.5091815458916,afternoon,18.503733,73.80869,[[30]],30.0,30.0,"POLYGON ((73.80805567009908 18.5094324270547, 73.80782846674282 18.50045180625744, 73.8172979673724 18.50045161381736, 73.81752566409548 18.50943222337794, 73.80805567009908 18.5094324270547))",0.03690648464774166,18.50494205663963,73.81267694207902,Sunday
3558,A280005862#,1.0,,18.540385,18.474621,73.817805,73.809393,3.0,500.0,A280005862,1.0,73.815074,18.501593,294,18.500254646124464,73.81267207603486,0.0,180624-2111,180624,21,6,2018-06-24 21:11:00,"18.501593, 73.815074","18.513878, 73.841308",18.513878,73.841308,,3086.0941949688095,evening,18.501593,73.815074,[[30]],30.0,30.0,"POLYGON ((73.80805567009908 18.5094324270547, 73.80782846674282 18.50045180625744, 73.8172979673724 18.50045161381736, 73.81752566409548 18.50943222337794, 73.80805567009908 18.5094324270547))",0.03690648464774166,18.50494205663963,73.81267694207902,Sunday
3559,A280005862#,1.0,,18.541173999999998,18.460593,73.841189,73.831061,5.0,500.0,A280005862,1.0,73.841358,18.513834,378,18.514413770969448,73.83782532014575,0.0,180625-0817,180625,8,12,2018-06-25 08:17:00,"18.513834, 73.841358","18.516376, 73.83098000000001",18.516376,73.83098000000001,,1130.5230072897955,morning,18.513834,73.841358,[[56]],56.0,56.0,"POLYGON ((73.83669435951788 18.51841240298294, 73.83646565206578 18.50943181624357, 73.84593564603971 18.50943161278596, 73.84616484690481 18.51841218821442, 73.83669435951788 18.51841240298294))",0.0369074796314548,18.51392204407126,73.84131512613368,Monday
3560,A280004804#,1.0,,18.541494,18.463779000000002,73.82991,73.819816,4.0,500.0,A280004804,1.0,73.822,18.500825,655,18.505830630978476,73.82527779081447,0.0,180602-0905,180602,9,0,2018-06-02 09:05:00,"18.500825, 73.822","18.498748000000003, 73.821652",18.498748000000003,73.821652,,233.92245469947323,morning,18.500825,73.822,[[39]],39.0,39.0,"POLYGON ((73.81752566409548 18.50943222337794, 73.8172979673724 18.50045161381736, 73.82676746799631 18.50045142147468, 73.82699565808439 18.50943201977422, 73.81752566409548 18.50943222337794))",0.03690648715389938,18.504941858623727,73.82214668938873,Saturday
3561,A280004804#,1.0,,18.541494,18.463779000000002,73.82991,73.819816,4.0,500.0,A280004804,1.0,73.821811,18.49873,423,18.501372701922666,73.8246989004481,0.0,180602-1757,180602,17,30,2018-06-02 17:57:00,"18.49873, 73.821811","18.496656, 73.81559",18.496656,73.81559,"18.49873, 73.821811",695.580252660693,evening,18.49873,73.821811,[[40]],40.0,40.0,"POLYGON ((73.8172979673724 18.50045161381736, 73.81707029453172 18.49147100398452, 73.82653930184236 18.49147082290169, 73.82676746799631 18.50045142147468, 73.8172979673724 18.50045161381736))",0.03690549980749337,18.49596125455518,73.82191875793723,Saturday
